SELECTION [ORDERED],,
size,comparisons,duration(us)
100,4950,62.9
1000,499500,8937.5
10000,49995000,621955.8
SELECTION [RANDOM],,
size,comparisons,duration(us)
100,4950,85.4
1000,499500,8406.3
10000,49995000,837590.9
SELECTION [REVERSE],,
size,comparisons,duration(us)
100,4950,94.1
1000,499500,9125.3
10000,49995000,951360.7
SELECTION [RANDOM WITH DUPLICATES],,
size,comparisons,duration(us)
100,4950,82.9
1000,499500,8157.7
10000,49995000,814672.2
INSERTION [ORDERED],,
size,comparisons,duration(us)
100,99,2.6
1000,999,20
10000,9999,181.8
INSERTION [RANDOM],,
size,comparisons,duration(us)
100,2629,68.3
1000,249656,7053
10000,25046652,648357.4
INSERTION [REVERSE],,
size,comparisons,duration(us)
100,4950,160.2
1000,499500,12367.9
10000,49995000,1206647.5
INSERTION [RANDOM WITH DUPLICATES],,
size,comparisons,duration(us)
100,2377,57.4
1000,245393,6033.5
10000,24590817,594074
BUBBLE [ORDERED],,
size,comparisons,duration(us)
100,4950,81.2
1000,499500,5413.8
10000,49995000,524779.7
BUBBLE [RANDOM],,
size,comparisons,duration(us)
100,4950,75.8
1000,499500,7523.3
10000,49995000,752978.2
BUBBLE [REVERSE],,
size,comparisons,duration(us)
100,4950,92.9
1000,499500,9454.4
10000,49995000,924561.3
BUBBLE [RANDOM WITH DUPLICATES],,
size,comparisons,duration(us)
100,4950,74.1
1000,499500,7491.4
10000,49995000,737175.6
